BGL coefficients
a_f[0]= 0.01224
a_g[0]= 0.0289
a_F1[0]= 0.00204964
a_F2[0]= 0.0595
a_f[1]= -0.052
a_g[1]= 0.08
a_F1[1]= -0.007
a_F2[1]= -0.318
a_f[2]= 1
a_g[2]= -1
a_F1[2]= 0.089
a_F2[2]= 0
a_f[3]= 0
a_g[3]= 0
a_F1[3]= 0
a_F2[3]= 0
BGL params
chiT1m 0.0005131
chiT1p 0.0003894
chiL1p 0.019421
r 0.380758
q2 z g f F1 F2 Bsck1p Bsck1m, Bsck0 Phig Phif PhiF1 PhiF2 
0.011164 0.0560294 0.223946 4.48284 14.3605 0.544878 0.0911444 0.100989 0.128423 1.33723 0.0305096 0.00147977 0.266206 
0.11794 0.055528 0.224948 4.48285 14.3768 0.548997 0.0909069 0.100726 0.128118 1.33546 0.0305159 0.00148082 0.265853 
0.224716 0.0550256 0.225953 4.48303 14.3936 0.553149 0.0906692 0.100462 0.127811 1.33368 0.0305223 0.00148187 0.265499 
0.331493 0.0545222 0.226963 4.48339 14.4109 0.557336 0.0904314 0.100198 0.127505 1.33191 0.0305287 0.00148293 0.265145 
0.438269 0.0540177 0.227976 4.48392 14.4286 0.561557 0.0901935 0.0999336 0.127198 1.33013 0.030535 0.00148399 0.264791 
0.545045 0.0535121 0.228992 4.48464 14.4467 0.565813 0.0899554 0.0996691 0.126891 1.32834 0.0305414 0.00148505 0.264436 
0.651821 0.0530055 0.230013 4.48554 14.4653 0.570104 0.0897171 0.0994044 0.126583 1.32656 0.0305477 0.00148611 0.264081 
0.758597 0.0524979 0.231037 4.48662 14.4844 0.574431 0.0894787 0.0991395 0.126275 1.32478 0.030554 0.00148717 0.263726 
0.865373 0.0519892 0.232064 4.4879 14.5039 0.578794 0.0892401 0.0988744 0.125967 1.32299 0.0305604 0.00148824 0.26337 
0.972149 0.0514794 0.233096 4.48936 14.5239 0.583193 0.0890013 0.098609 0.125658 1.3212 0.0305667 0.0014893 0.263014 
1.07893 0.0509686 0.234131 4.49102 14.5444 0.587629 0.0887624 0.0983434 0.125349 1.31941 0.030573 0.00149037 0.262658 
1.1857 0.0504566 0.235169 4.49287 14.5654 0.592103 0.0885234 0.0980776 0.12504 1.31762 0.0305793 0.00149144 0.262301 
1.29248 0.0499436 0.236212 4.49492 14.5868 0.596614 0.0882842 0.0978116 0.12473 1.31582 0.0305856 0.00149251 0.261944 
1.39925 0.0494295 0.237258 4.49717 14.6088 0.601163 0.0880448 0.0975454 0.12442 1.31403 0.0305919 0.00149358 0.261586 
1.50603 0.0489144 0.238308 4.49962 14.6312 0.60575 0.0878053 0.097279 0.124109 1.31223 0.0305982 0.00149465 0.261229 
1.61281 0.0483981 0.239361 4.50228 14.6542 0.610376 0.0875656 0.0970123 0.123799 1.31043 0.0306045 0.00149573 0.26087 
1.71958 0.0478807 0.240418 4.50515 14.6776 0.615042 0.0873258 0.0967454 0.123487 1.30863 0.0306108 0.00149681 0.260512 
1.82636 0.0473622 0.241479 4.50823 14.7016 0.619747 0.0870858 0.0964783 0.123176 1.30683 0.0306171 0.00149788 0.260153 
1.93313 0.0468427 0.242544 4.51152 14.7261 0.624492 0.0868456 0.096211 0.122864 1.30502 0.0306234 0.00149897 0.259794 
2.03991 0.046322 0.243612 4.51503 14.7512 0.629278 0.0866053 0.0959435 0.122552 1.30322 0.0306296 0.00150005 0.259434 
2.14669 0.0458002 0.244684 4.51877 14.7767 0.634106 0.0863649 0.0956757 0.122239 1.30141 0.0306359 0.00150113 0.259074 
2.25346 0.0452773 0.24576 4.52272 14.8028 0.638974 0.0861243 0.0954077 0.121927 1.2996 0.0306421 0.00150222 0.258714 
2.36024 0.0447532 0.246839 4.5269 14.8295 0.643885 0.0858835 0.0951395 0.121613 1.29779 0.0306484 0.0015033 0.258353 
2.46702 0.0442281 0.247922 4.53132 14.8567 0.648838 0.0856426 0.0948711 0.1213 1.29597 0.0306546 0.00150439 0.257992 
2.57379 0.0437018 0.249009 4.53596 14.8845 0.653834 0.0854016 0.0946025 0.120986 1.29416 0.0306609 0.00150548 0.257631 
2.68057 0.0431743 0.2501 4.54084 14.9128 0.658873 0.0851604 0.0943337 0.120671 1.29234 0.0306671 0.00150657 0.257269 
2.78734 0.0426457 0.251194 4.54596 14.9417 0.663956 0.084919 0.0940646 0.120357 1.29052 0.0306733 0.00150766 0.256907 
2.89412 0.042116 0.252292 4.55133 14.9712 0.669084 0.0846775 0.0937954 0.120042 1.2887 0.0306795 0.00150876 0.256544 
3.0009 0.0415851 0.253394 4.55693 15.0013 0.674256 0.0844358 0.0935259 0.119726 1.28688 0.0306857 0.00150986 0.256181 
3.10767 0.0410531 0.254499 4.56279 15.0319 0.679474 0.084194 0.0932562 0.119411 1.28505 0.0306919 0.00151095 0.255818 
3.21445 0.0405199 0.255608 4.5689 15.0632 0.684738 0.0839521 0.0929862 0.119094 1.28322 0.0306981 0.00151205 0.255454 
3.32123 0.0399856 0.256721 4.57527 15.0951 0.690049 0.0837099 0.0927161 0.118778 1.2814 0.0307043 0.00151315 0.25509 
3.428 0.03945 0.257837 4.58189 15.1276 0.695406 0.0834677 0.0924457 0.118461 1.27957 0.0307105 0.00151426 0.254726 
3.53478 0.0389133 0.258958 4.58878 15.1607 0.700811 0.0832253 0.0921752 0.118144 1.27773 0.0307166 0.00151536 0.254361 
3.64155 0.0383755 0.260082 4.59594 15.1944 0.706264 0.0829827 0.0919044 0.117826 1.2759 0.0307228 0.00151647 0.253996 
3.74833 0.0378364 0.261209 4.60336 15.2288 0.711765 0.08274 0.0916334 0.117509 1.27406 0.0307289 0.00151758 0.253631 
3.85511 0.0372961 0.26234 4.61106 15.2638 0.717316 0.0824971 0.0913622 0.11719 1.27223 0.0307351 0.00151869 0.253265 
3.96188 0.0367547 0.263475 4.61904 15.2995 0.722916 0.0822541 0.0910908 0.116872 1.27039 0.0307412 0.0015198 0.252899 
4.06866 0.0362121 0.264614 4.6273 15.3358 0.728567 0.082011 0.0908191 0.116553 1.26854 0.0307473 0.00152091 0.252532 
4.17543 0.0356682 0.265756 4.63585 15.3729 0.734269 0.0817677 0.0905473 0.116233 1.2667 0.0307534 0.00152202 0.252165 
4.28221 0.0351232 0.266902 4.64468 15.4105 0.740022 0.0815242 0.0902752 0.115914 1.26486 0.0307596 0.00152314 0.251798 
4.38899 0.0345769 0.268051 4.65381 15.4489 0.745828 0.0812806 0.0900029 0.115594 1.26301 0.0307657 0.00152426 0.25143 
4.49576 0.0340294 0.269204 4.66324 15.4879 0.751686 0.0810369 0.0897304 0.115273 1.26116 0.0307718 0.00152538 0.251062 
4.60254 0.0334807 0.270361 4.67297 15.5277 0.757597 0.080793 0.0894577 0.114952 1.25931 0.0307778 0.0015265 0.250693 
4.70932 0.0329308 0.271522 4.683 15.5682 0.763563 0.080549 0.0891848 0.114631 1.25746 0.0307839 0.00152762 0.250325 
