BGL coefficients
a_f[0]= 0.01224
a_g[0]= 0.0289
a_F1[0]= 0.00198205
a_F2[0]= 0.0595
a_f[1]= -0.052
a_g[1]= 0.08
a_F1[1]= -0.007
a_F2[1]= -0.318
a_f[2]= 1
a_g[2]= -1
a_F1[2]= 0.089
a_F2[2]= 0
a_f[3]= 0
a_g[3]= 0
a_F1[3]= 0
a_F2[3]= 0
BGL params
chiT1m 0.0005131
chiT1p 0.0003894
chiL1p 0.019421
r 0.393543
q2 z g f F1 F2 Bsck1p Bsck1m, Bsck0 Phig Phif PhiF1 PhiF2 
0.011164 0.0523945 0.213339 4.47411 14.3543 0.546167 0.0943957 0.105844 0.131978 1.34392 0.0290305 0.00137242 0.267537 
0.116989 0.0519223 0.214424 4.47868 14.3828 0.550345 0.0940907 0.105479 0.131599 1.34224 0.0290363 0.00137335 0.267204 
0.222814 0.0514491 0.215516 4.48343 14.4118 0.55456 0.0937856 0.105114 0.13122 1.34057 0.0290421 0.00137427 0.26687 
0.328639 0.0509751 0.216612 4.48836 14.4413 0.55881 0.0934806 0.10475 0.13084 1.33889 0.0290479 0.0013752 0.266536 
0.434464 0.0505001 0.217714 4.49348 14.4713 0.563097 0.0931756 0.104385 0.130461 1.33721 0.0290536 0.00137613 0.266202 
0.540289 0.0500241 0.218822 4.49878 14.5018 0.567421 0.0928707 0.104021 0.130081 1.33553 0.0290594 0.00137705 0.265868 
0.646114 0.0495473 0.219936 4.50428 14.5327 0.571783 0.0925657 0.103657 0.129701 1.33385 0.0290652 0.00137798 0.265533 
0.751939 0.0490695 0.221055 4.50996 14.5643 0.576182 0.0922608 0.103292 0.129321 1.33217 0.0290709 0.00137892 0.265198 
0.857764 0.0485907 0.222179 4.51585 14.5963 0.58062 0.0919559 0.102928 0.128941 1.33048 0.0290767 0.00137985 0.264863 
0.963588 0.0481111 0.22331 4.52193 14.6289 0.585096 0.091651 0.102564 0.12856 1.3288 0.0290824 0.00138078 0.264527 
1.06941 0.0476304 0.224446 4.52821 14.662 0.589612 0.0913462 0.1022 0.12818 1.32711 0.0290882 0.00138172 0.264191 
1.17524 0.0471488 0.225588 4.5347 14.6956 0.594167 0.0910414 0.101836 0.127799 1.32542 0.0290939 0.00138265 0.263855 
1.28106 0.0466663 0.226736 4.54139 14.7298 0.598763 0.0907366 0.101472 0.127418 1.32373 0.0290996 0.00138359 0.263518 
1.38689 0.0461828 0.22789 4.5483 14.7645 0.603398 0.0904318 0.101108 0.127037 1.32204 0.0291054 0.00138453 0.263181 
1.49271 0.0456984 0.229049 4.55541 14.7998 0.608075 0.0901271 0.100744 0.126655 1.32035 0.0291111 0.00138547 0.262844 
1.59854 0.0452129 0.230215 4.56275 14.8357 0.612793 0.0898224 0.100381 0.126274 1.31865 0.0291168 0.00138641 0.262507 
1.70436 0.0447266 0.231386 4.5703 14.8721 0.617553 0.0895177 0.100017 0.125892 1.31695 0.0291225 0.00138735 0.262169 
1.81019 0.0442392 0.232564 4.57807 14.9091 0.622356 0.0892131 0.0996535 0.12551 1.31525 0.0291282 0.0013883 0.261831 
1.91601 0.0437509 0.233747 4.58607 14.9467 0.627201 0.0889085 0.09929 0.125128 1.31355 0.0291339 0.00138924 0.261492 
2.02184 0.0432616 0.234936 4.5943 14.9849 0.63209 0.088604 0.0989266 0.124745 1.31185 0.0291396 0.00139019 0.261153 
2.12766 0.0427713 0.236132 4.60276 15.0237 0.637022 0.0882995 0.0985633 0.124363 1.31015 0.0291453 0.00139114 0.260814 
2.23349 0.04228 0.237333 4.61146 15.0632 0.641999 0.087995 0.0982001 0.12398 1.30844 0.029151 0.00139209 0.260475 
2.33931 0.0417877 0.238541 4.62039 15.1032 0.647021 0.0876905 0.097837 0.123597 1.30674 0.0291567 0.00139304 0.260135 
2.44514 0.0412945 0.239755 4.62957 15.1439 0.652088 0.0873861 0.097474 0.123214 1.30503 0.0291624 0.00139399 0.259795 
2.55096 0.0408002 0.240975 4.63899 15.1851 0.657201 0.0870818 0.097111 0.122831 1.30332 0.029168 0.00139495 0.259455 
2.65679 0.040305 0.242201 4.64866 15.2271 0.66236 0.0867775 0.0967482 0.122447 1.30161 0.0291737 0.0013959 0.259114 
2.76261 0.0398087 0.243433 4.65858 15.2697 0.667566 0.0864732 0.0963855 0.122064 1.29989 0.0291794 0.00139686 0.258773 
2.86844 0.0393114 0.244672 4.66876 15.3129 0.67282 0.086169 0.0960228 0.12168 1.29818 0.029185 0.00139782 0.258431 
2.97426 0.0388132 0.245917 4.6792 15.3568 0.678122 0.0858648 0.0956603 0.121296 1.29646 0.0291907 0.00139877 0.25809 
3.08009 0.0383139 0.247168 4.6899 15.4014 0.683473 0.0855607 0.0952978 0.120912 1.29474 0.0291963 0.00139974 0.257748 
3.18591 0.0378135 0.248426 4.70087 15.4466 0.688872 0.0852567 0.0949354 0.120528 1.29302 0.0292019 0.0014007 0.257405 
3.29174 0.0373122 0.24969 4.71211 15.4926 0.694322 0.0849526 0.0945732 0.120143 1.2913 0.0292076 0.00140166 0.257063 
3.39756 0.0368098 0.25096 4.72362 15.5392 0.699821 0.0846487 0.0942111 0.119759 1.28958 0.0292132 0.00140262 0.25672 
3.50339 0.0363064 0.252237 4.73542 15.5866 0.705372 0.0843448 0.093849 0.119374 1.28785 0.0292188 0.00140359 0.256376 
3.60921 0.035802 0.25352 4.7475 15.6347 0.710975 0.0840409 0.0934871 0.118989 1.28613 0.0292244 0.00140456 0.256033 
3.71504 0.0352965 0.25481 4.75986 15.6834 0.716629 0.0837371 0.0931253 0.118604 1.2844 0.02923 0.00140553 0.255689 
3.82086 0.03479 0.256106 4.77252 15.733 0.722336 0.0834334 0.0927636 0.118218 1.28267 0.0292356 0.0014065 0.255344 
3.92669 0.0342824 0.257409 4.78547 15.7833 0.728097 0.0831297 0.092402 0.117833 1.28094 0.0292412 0.00140747 0.254999 
4.03251 0.0337738 0.258719 4.79873 15.8343 0.733912 0.0828261 0.0920405 0.117447 1.27921 0.0292468 0.00140844 0.254654 
4.13834 0.0332641 0.260035 4.81228 15.8861 0.739782 0.0825226 0.0916792 0.117062 1.27747 0.0292524 0.00140941 0.254309 
4.24416 0.0327534 0.261358 4.82615 15.9386 0.745707 0.0822191 0.0913179 0.116676 1.27573 0.029258 0.00141039 0.253963 
4.34999 0.0322416 0.262687 4.84033 15.992 0.751688 0.0819157 0.0909568 0.116289 1.274 0.0292635 0.00141137 0.253617 
4.45581 0.0317287 0.264023 4.85483 16.0461 0.757725 0.0816123 0.0905958 0.115903 1.27226 0.0292691 0.00141234 0.253271 
4.56164 0.0312148 0.265366 4.86965 16.1011 0.763821 0.081309 0.0902349 0.115517 1.27052 0.0292746 0.00141332 0.252924 
4.66746 0.0306998 0.266715 4.8848 16.1568 0.769974 0.0810058 0.0898742 0.11513 1.26877 0.0292802 0.0014143 0.252577 
4.77329 0.0301837 0.268072 4.90028 16.2134 0.776186 0.0807027 0.0895136 0.114743 1.26703 0.0292857 0.00141529 0.25223 
4.87911 0.0296665 0.269435 4.9161 16.2708 0.782458 0.0803996 0.0891531 0.114356 1.26528 0.0292913 0.00141627 0.251882 
4.98494 0.0291483 0.270805 4.93226 16.3291 0.78879 0.0800966 0.0887928 0.113969 1.26353 0.0292968 0.00141726 0.251534 
5.09076 0.0286289 0.272181 4.94877 16.3882 0.795183 0.0797937 0.0884326 0.113582 1.26178 0.0293023 0.00141824 0.251186 
5.19659 0.0281084 0.273565 4.96563 16.4482 0.801638 0.0794908 0.0880725 0.113195 1.26003 0.0293078 0.00141923 0.250837 
5.30241 0.0275869 0.274956 4.98285 16.509 0.808155 0.0791881 0.0877125 0.112807 1.25828 0.0293133 0.00142022 0.250488 
5.40824 0.0270642 0.276353 5.00043 16.5708 0.814736 0.0788854 0.0873528 0.112419 1.25652 0.0293188 0.00142121 0.250138 
5.51406 0.0265404 0.277758 5.01839 16.6334 0.821381 0.0785828 0.0869931 0.112032 1.25476 0.0293243 0.0014222 0.249789 
5.61989 0.0260155 0.279169 5.03671 16.697 0.82809 0.0782803 0.0866336 0.111644 1.253 0.0293298 0.0014232 0.249439 
5.72571 0.0254895 0.280587 5.05542 16.7615 0.834866 0.0779778 0.0862742 0.111255 1.25124 0.0293352 0.00142419 0.249088 
5.83154 0.0249624 0.282013 5.07451 16.8269 0.841708 0.0776755 0.085915 0.110867 1.24948 0.0293407 0.00142519 0.248737 
5.93736 0.0244341 0.283445 5.09399 16.8933 0.848617 0.0773732 0.085556 0.110479 1.24772 0.0293462 0.00142619 0.248386 
6.04319 0.0239047 0.284885 5.11387 16.9606 0.855595 0.0770711 0.0851971 0.11009 1.24595 0.0293516 0.00142718 0.248035 
6.14901 0.0233742 0.286332 5.13415 17.029 0.862642 0.076769 0.0848383 0.109701 1.24418 0.0293571 0.00142819 0.247683 
6.25484 0.0228425 0.287785 5.15484 17.0983 0.869759 0.076467 0.0844797 0.109312 1.24242 0.0293625 0.00142919 0.24733 
6.36066 0.0223097 0.289246 5.17595 17.1686 0.876947 0.0761651 0.0841213 0.108923 1.24064 0.0293679 0.00143019 0.246978 
6.46649 0.0217757 0.290714 5.19748 17.2399 0.884207 0.0758633 0.083763 0.108534 1.23887 0.0293733 0.0014312 0.246625 
6.57231 0.0212406 0.29219 5.21944 17.3123 0.891539 0.0755616 0.0834049 0.108145 1.2371 0.0293787 0.0014322 0.246272 
6.67814 0.0207043 0.293672 5.24183 17.3857 0.898945 0.07526 0.0830469 0.107756 1.23532 0.0293841 0.00143321 0.245918 
6.78396 0.0201668 0.295162 5.26466 17.4601 0.906426 0.0749585 0.0826892 0.107366 1.23354 0.0293895 0.00143422 0.245564 
6.88979 0.0196282 0.296659 5.28794 17.5356 0.913982 0.0746571 0.0823316 0.106976 1.23176 0.0293949 0.00143523 0.24521 
6.99561 0.0190884 0.298163 5.31168 17.6123 0.921615 0.0743558 0.0819741 0.106586 1.22998 0.0294003 0.00143624 0.244855 
7.10143 0.0185474 0.299674 5.33588 17.69 0.929326 0.0740546 0.0816169 0.106196 1.2282 0.0294057 0.00143726 0.2445 
7.20726 0.0180053 0.301193 5.36055 17.7688 0.937115 0.0737535 0.0812598 0.105806 1.22641 0.029411 0.00143827 0.244144 
7.31308 0.0174619 0.302719 5.38569 17.8488 0.944983 0.0734526 0.0809029 0.105416 1.22462 0.0294164 0.00143929 0.243788 
7.41891 0.0169173 0.304252 5.41132 17.9299 0.952933 0.0731517 0.0805462 0.105026 1.22283 0.0294217 0.0014403 0.243432 
7.52473 0.0163716 0.305793 5.43744 18.0121 0.960964 0.072851 0.0801896 0.104635 1.22104 0.029427 0.00144132 0.243076 
7.63056 0.0158246 0.307341 5.46405 18.0956 0.969078 0.0725503 0.0798333 0.104244 1.21925 0.0294323 0.00144234 0.242719 
7.73638 0.0152765 0.308896 5.49118 18.1802 0.977275 0.0722498 0.0794771 0.103854 1.21746 0.0294376 0.00144337 0.242362 
7.84221 0.0147271 0.310459 5.51882 18.2661 0.985558 0.0719494 0.0791212 0.103463 1.21566 0.0294429 0.00144439 0.242004 
7.94803 0.0141765 0.312029 5.54698 18.3532 0.993927 0.0716491 0.0787654 0.103072 1.21386 0.0294482 0.00144542 0.241646 
8.05386 0.0136247 0.313607 5.57567 18.4415 1.00238 0.071349 0.0784098 0.102681 1.21206 0.0294535 0.00144644 0.241288 
8.15968 0.0130716 0.315191 5.6049 18.5311 1.01093 0.0710489 0.0780544 0.102289 1.21026 0.0294588 0.00144747 0.240929 
8.26551 0.0125174 0.316784 5.63468 18.622 1.01956 0.070749 0.0776992 0.101898 1.20845 0.029464 0.0014485 0.24057 
8.37133 0.0119618 0.318383 5.66501 18.7141 1.02829 0.0704493 0.0773442 0.101507 1.20665 0.0294693 0.00144953 0.24021 
8.47716 0.0114051 0.319991 5.69591 18.8076 1.03711 0.0701496 0.0769895 0.101115 1.20484 0.0294745 0.00145056 0.23985 
8.58298 0.010847 0.321605 5.72738 18.9024 1.04602 0.0698501 0.0766349 0.100723 1.20303 0.0294798 0.0014516 0.23949 
8.68881 0.0102878 0.323227 5.75943 18.9986 1.05502 0.0695507 0.0762805 0.100332 1.20122 0.029485 0.00145263 0.23913 
