q2 Fs Ff Fg Fm Fp Fzt Fmt Fpt
0.012 -0.444989 4.50806 0.105685 0.0992527 -0.078516 -0.00319385 0.402317 -0.675729
0.11868 -0.447425 4.5201 0.106225 0.0997339 -0.0788556 -0.00321862 0.404407 -0.679228
0.22536 -0.449887 4.53227 0.106772 0.10022 -0.0791987 -0.0032437 0.40652 -0.682766
0.33204 -0.452377 4.54458 0.107325 0.100712 -0.0795453 -0.00326907 0.408656 -0.686341
0.43872 -0.454893 4.55703 0.107884 0.101209 -0.0798954 -0.00329475 0.410815 -0.689956
0.5454 -0.457436 4.56961 0.108448 0.10171 -0.0802491 -0.00332074 0.412997 -0.693609
0.65208 -0.460006 4.58234 0.109019 0.102218 -0.0806062 -0.00334705 0.415203 -0.697301
0.75876 -0.462604 4.59519 0.109596 0.10273 -0.0809669 -0.00337367 0.417432 -0.701032
0.86544 -0.465229 4.60818 0.110179 0.103248 -0.0813311 -0.0034006 0.419684 -0.704803
0.97212 -0.467882 4.62131 0.110768 0.103771 -0.0816988 -0.00342786 0.421961 -0.708613
1.0788 -0.470562 4.63457 0.111363 0.104299 -0.0820701 -0.00345545 0.424261 -0.712463
1.18548 -0.473271 4.64797 0.111964 0.104833 -0.082445 -0.00348336 0.426585 -0.716354
1.29216 -0.476008 4.66149 0.112571 0.105372 -0.0828234 -0.0035116 0.428933 -0.720284
1.39884 -0.478774 4.67515 0.113185 0.105917 -0.0832054 -0.00354019 0.431305 -0.724256
1.50552 -0.481568 4.68895 0.113805 0.106467 -0.083591 -0.00356911 0.433702 -0.728268
1.6122 -0.484391 4.70287 0.114432 0.107023 -0.0839801 -0.00359837 0.436123 -0.732321
1.71888 -0.487242 4.71693 0.115065 0.107584 -0.0843729 -0.00362798 0.438569 -0.736415
1.82556 -0.490123 4.73111 0.115704 0.10815 -0.0847692 -0.00365794 0.44104 -0.740551
1.93224 -0.493034 4.74543 0.11635 0.108722 -0.0851692 -0.00368825 0.443535 -0.744728
2.03892 -0.495973 4.75987 0.117002 0.1093 -0.0855728 -0.00371893 0.446056 -0.748948
2.1456 -0.498943 4.77445 0.11766 0.109883 -0.08598 -0.00374996 0.448602 -0.75321
2.25228 -0.501942 4.78915 0.118325 0.110472 -0.0863908 -0.00378136 0.451173 -0.757514
2.35896 -0.504971 4.80398 0.118997 0.111066 -0.0868053 -0.00381312 0.45377 -0.76186
2.46564 -0.508031 4.81893 0.119676 0.111666 -0.0872234 -0.00384526 0.456393 -0.76625
2.57232 -0.51112 4.83402 0.120361 0.112272 -0.0876452 -0.00387778 0.459041 -0.770683
2.679 -0.514241 4.84923 0.121052 0.112884 -0.0880706 -0.00391068 0.461715 -0.775159
2.78568 -0.517392 4.86456 0.121751 0.113501 -0.0884997 -0.00394396 0.464416 -0.779679
2.89236 -0.520575 4.88002 0.122456 0.114124 -0.0889324 -0.00397763 0.467142 -0.784243
2.99904 -0.523788 4.8956 0.123168 0.114753 -0.0893688 -0.0040117 0.469896 -0.788851
3.10572 -0.527033 4.91131 0.123887 0.115388 -0.0898089 -0.00404616 0.472675 -0.793503
3.2124 -0.530309 4.92714 0.124613 0.116028 -0.0902527 -0.00408103 0.475482 -0.7982
