q2 F0 Fp
0.012 0.253091 0.253454
0.276085 0.252665 0.257229
0.54017 0.25228 0.261089
0.804256 0.251939 0.265037
1.06834 0.251643 0.269076
1.33243 0.251392 0.273208
1.59651 0.251188 0.277436
1.8606 0.251033 0.281764
2.12468 0.250927 0.286195
2.38877 0.250872 0.290732
2.65285 0.250869 0.295378
2.91694 0.250921 0.300138
3.18102 0.251027 0.305016
3.44511 0.25119 0.310014
3.70919 0.251412 0.315138
3.97328 0.251693 0.320392
4.23736 0.252037 0.325781
4.50145 0.252443 0.331308
4.76553 0.252915 0.33698
5.02962 0.253454 0.342801
5.2937 0.254062 0.348778
5.55779 0.254741 0.354915
5.82187 0.255493 0.361219
6.08596 0.256321 0.367696
6.35005 0.257225 0.374353
6.61413 0.25821 0.381197
6.87822 0.259276 0.388235
7.1423 0.260427 0.395475
7.40639 0.261665 0.402925
7.67047 0.262992 0.410594
7.93456 0.264412 0.41849
8.19864 0.265926 0.426623
8.46273 0.267539 0.435004
8.72681 0.269253 0.443642
8.9909 0.271071 0.452549
9.25498 0.272996 0.461737
9.51907 0.275033 0.471217
9.78315 0.277183 0.481004
10.0472 0.279451 0.491112
10.3113 0.281841 0.501554
10.5754 0.284357 0.512348
10.8395 0.287003 0.523508
11.1036 0.289782 0.535054
11.3677 0.292699 0.547005
11.6317 0.29576 0.559379
11.8958 0.298968 0.572199
12.1599 0.302329 0.585487
12.424 0.305848 0.599269
12.6881 0.309531 0.613569
12.9522 0.313382 0.628415
13.2163 0.317408 0.643838
13.4803 0.321614 0.65987
13.7444 0.326009 0.676544
14.0085 0.330597 0.693898
14.2726 0.335386 0.711971
14.5367 0.340383 0.730806
14.8008 0.345597 0.750449
15.0649 0.351034 0.770951
15.3289 0.356703 0.792364
15.593 0.362614 0.814748
15.8571 0.368774 0.838166
16.1212 0.375194 0.862687
16.3853 0.381884 0.888385
16.6494 0.388854 0.915344
16.9135 0.396115 0.943652
17.1775 0.403679 0.973407
17.4416 0.411559 1.00472
17.7057 0.419766 1.0377
17.9698 0.428314 1.07249
18.2339 0.437217 1.10923
18.498 0.446491 1.14807
18.7621 0.456151 1.1892
19.0261 0.466212 1.23282
19.2902 0.476693 1.27913
19.5543 0.487612 1.3284
19.8184 0.498988 1.38089
20.0825 0.51084 1.43693
20.3466 0.523191 1.49686
20.6106 0.536062 1.56109
20.8747 0.549476 1.63008
21.1388 0.56346 1.70435
21.4029 0.578037 1.78451
21.667 0.593236 1.87126
21.9311 0.609085 1.96542
22.1952 0.625614 2.06795
22.4592 0.642853 2.17997
22.7233 0.660834 2.30281
22.9874 0.679591 2.43809
23.2515 0.699157 2.58773
23.5156 0.719567 2.75408
23.7797 0.740854 2.94001
24.0438 0.763052 3.14914
24.3078 0.786193 3.38596
24.5719 0.810304 3.65627
24.836 0.835409 3.96757
25.1001 0.86152 4.32977
25.3642 0.88864 4.75628
25.6283 0.916749 5.26567
25.8924 0.9458 5.88444
26.1564 0.975701 6.65175
