q2 F0 Fp
0.012 0.252773 0.252854
0.249365 0.254158 0.255877
0.48673 0.255565 0.258967
0.724095 0.256992 0.262127
0.96146 0.258441 0.26536
1.19882 0.259912 0.268666
1.43619 0.261406 0.272049
1.67355 0.262922 0.275512
1.91092 0.264463 0.279055
2.14828 0.266027 0.282682
2.38565 0.267617 0.286396
2.62301 0.269232 0.290199
2.86038 0.270873 0.294093
3.09774 0.272541 0.298083
3.33511 0.274236 0.302171
3.57247 0.27596 0.306361
3.80984 0.277712 0.310655
4.0472 0.279495 0.315057
4.28457 0.281308 0.31957
4.52193 0.283152 0.3242
4.7593 0.285028 0.328949
4.99666 0.286937 0.333821
5.23403 0.288881 0.338821
5.47139 0.290859 0.343954
5.70876 0.292873 0.349224
5.94612 0.294924 0.354635
6.18349 0.297013 0.360194
6.42085 0.299141 0.365905
6.65822 0.301309 0.371774
6.89558 0.303519 0.377807
7.13295 0.305771 0.38401
7.37031 0.308067 0.39039
7.60768 0.310408 0.396952
7.84504 0.312795 0.403705
8.08241 0.315231 0.410656
8.31977 0.317716 0.417812
8.55714 0.320252 0.425181
8.7945 0.322841 0.432773
9.03187 0.325484 0.440596
9.26923 0.328183 0.44866
9.5066 0.33094 0.456974
9.74396 0.333757 0.46555
9.98133 0.336635 0.474398
10.2187 0.339577 0.483531
10.4561 0.342586 0.49296
10.6934 0.345662 0.502699
10.9308 0.348809 0.512761
11.1682 0.35203 0.523161
11.4055 0.355326 0.533914
11.6429 0.3587 0.545037
11.8802 0.362156 0.556548
12.1176 0.365695 0.568463
12.355 0.369322 0.580804
12.5923 0.37304 0.593591
12.8297 0.376852 0.606845
13.0671 0.380761 0.62059
13.3044 0.384771 0.634852
13.5418 0.388887 0.649656
13.7792 0.393112 0.665032
14.0165 0.397451 0.681009
14.2539 0.401909 0.69762
14.4913 0.406489 0.714899
14.7286 0.411198 0.732884
14.966 0.416041 0.751615
15.2034 0.421023 0.771135
15.4407 0.426151 0.791488
15.6781 0.43143 0.812726
15.9155 0.436868 0.834901
16.1528 0.442471 0.858072
16.3902 0.448247 0.882299
16.6275 0.454204 0.907651
16.8649 0.46035 0.934201
17.1023 0.466694 0.962028
17.3396 0.473246 0.991218
17.577 0.480015 1.02187
17.8144 0.487013 1.05407
18.0517 0.494249 1.08795
18.2891 0.501737 1.12362
18.5265 0.509489 1.16123
18.7638 0.517519 1.2009
19.0012 0.52584 1.24282
19.2386 0.53447 1.28716
19.4759 0.543423 1.33412
19.7133 0.552718 1.38392
19.9507 0.562373 1.43681
20.188 0.572408 1.49306
20.4254 0.582845 1.55299
20.6628 0.593708 1.61693
20.9001 0.605019 1.68529
21.1375 0.616806 1.75849
21.3748 0.629097 1.83705
21.6122 0.641922 1.92154
21.8496 0.655313 2.0126
22.0869 0.669305 2.11101
22.3243 0.683935 2.21763
22.5617 0.699242 2.33347
22.799 0.71527 2.45973
23.0364 0.732062 2.5978
23.2738 0.749667 2.74935
23.5111 0.768136 2.91635
