q2 Fs Fz Fp Ft
0.012 4.29841 0.664241 0.664395 0
0.128468 4.3136 0.666588 0.66836 0
0.244936 4.32877 0.668933 0.672343 0
0.361404 4.34393 0.671275 0.676342 0
0.477872 4.35907 0.673615 0.680359 0
0.594341 4.37419 0.675952 0.684394 0
0.710809 4.38931 0.678288 0.688447 0
0.827277 4.40442 0.680622 0.692518 0
0.943745 4.41951 0.682956 0.696609 0
1.06021 4.4346 0.685288 0.70072 0
1.17668 4.44969 0.687619 0.70485 0
1.29315 4.46478 0.68995 0.709001 0
1.40962 4.47986 0.692281 0.713172 0
1.52609 4.49494 0.694612 0.717365 0
1.64255 4.51003 0.696943 0.721579 0
1.75902 4.52512 0.699275 0.725816 0
1.87549 4.54022 0.701608 0.730075 0
1.99196 4.55532 0.703942 0.734358 0
2.10843 4.57044 0.706278 0.738664 0
2.22489 4.58556 0.708616 0.742993 0
2.34136 4.6007 0.710955 0.747348 0
2.45783 4.61586 0.713297 0.751727 0
2.5743 4.63103 0.715642 0.756132 0
2.69077 4.64622 0.71799 0.760563 0
2.80723 4.66144 0.720341 0.76502 0
2.9237 4.67667 0.722695 0.769505 0
3.04017 4.69193 0.725053 0.774017 0
3.15664 4.70722 0.727415 0.778557 0
3.27311 4.72254 0.729782 0.783125 0
3.38957 4.73788 0.732154 0.787723 0
3.50604 4.75326 0.73453 0.79235 0
3.62251 4.76867 0.736912 0.797008 0
3.73898 4.78412 0.739299 0.801696 0
3.85545 4.79961 0.741692 0.806416 0
3.97192 4.81514 0.744092 0.811167 0
4.08838 4.8307 0.746498 0.815951 0
4.20485 4.84632 0.748911 0.820768 0
4.32132 4.86198 0.75133 0.825619 0
4.43779 4.87769 0.753758 0.830505 0
4.55426 4.89344 0.756193 0.835425 0
4.67072 4.90925 0.758636 0.84038 0
4.78719 4.92512 0.761087 0.845372 0
4.90366 4.94104 0.763547 0.850401 0
5.02013 4.95701 0.766016 0.855466 0
5.1366 4.97305 0.768495 0.860571 0
5.25306 4.98915 0.770983 0.865713 0
5.36953 5.00531 0.773481 0.870896 0
5.486 5.02154 0.775989 0.876118 0
5.60247 5.03784 0.778507 0.881381 0
5.71894 5.05421 0.781037 0.886686 0
5.83541 5.07065 0.783577 0.892032 0
5.95187 5.08717 0.78613 0.897422 0
6.06834 5.10376 0.788694 0.902855 0
6.18481 5.12043 0.79127 0.908333 0
6.30128 5.13718 0.793859 0.913856 0
6.41775 5.15402 0.79646 0.919424 0
6.53421 5.17094 0.799075 0.92504 0
6.65068 5.18795 0.801703 0.930702 0
6.76715 5.20504 0.804345 0.936413 0
6.88362 5.22223 0.807001 0.942173 0
7.00009 5.23952 0.809672 0.947982 0
7.11655 5.25689 0.812358 0.953842 0
7.23302 5.27437 0.815058 0.959753 0
7.34949 5.29195 0.817774 0.965717 0
7.46596 5.30962 0.820506 0.971734 0
7.58243 5.32741 0.823254 0.977804 0
7.69889 5.3453 0.826019 0.98393 0
7.81536 5.3633 0.8288 0.990111 0
7.93183 5.38141 0.831599 0.996348 0
8.0483 5.39963 0.834415 1.00264 0
8.16477 5.41797 0.837249 1.009 0
8.28124 5.43643 0.840102 1.01541 0
8.3977 5.45501 0.842973 1.02188 0
8.51417 5.47371 0.845862 1.02842 0
8.63064 5.49253 0.848772 1.03501 0
8.74711 5.51149 0.8517 1.04167 0
8.86358 5.53057 0.854649 1.0484 0
8.98004 5.54978 0.857618 1.05518 0
9.09651 5.56913 0.860608 1.06204 0
9.21298 5.58861 0.863619 1.06896 0
9.32945 5.60824 0.866651 1.07595 0
9.44592 5.628 0.869706 1.08301 0
9.56238 5.64791 0.872782 1.09014 0
9.67885 5.66796 0.875881 1.09734 0
9.79532 5.68816 0.879002 1.10461 0
9.91179 5.70851 0.882147 1.11196 0
10.0283 5.72902 0.885316 1.11938 0
10.1447 5.74968 0.888508 1.12688 0
10.2612 5.77049 0.891725 1.13445 0
10.3777 5.79147 0.894967 1.14211 0
10.4941 5.81261 0.898233 1.14984 0
10.6106 5.83391 0.901525 1.15765 0
10.7271 5.85538 0.904843 1.16554 0
10.8435 5.87702 0.908187 1.17352 0
10.96 5.89884 0.911558 1.18158 0
11.0765 5.92082 0.914956 1.18973 0
11.1929 5.94299 0.918381 1.19797 0
11.3094 5.96533 0.921833 1.20629 0
11.4259 5.98785 0.925314 1.2147 0
11.5423 6.01056 0.928824 1.2232 0
